psi0,nu,N,chitc,href,id,col0,col1,col2,col3,col4,col5
-0.003425,0.3216,0.1106,1.1455,56.2043,1,5.372505e-01,4.128680e-01,5.055000e-01,1.987514e-01,2.449149e-01,4.506000e+00
0.037419,0.2933,0.5953,2.9864,15.5017,1,5.087568e-01,3.347775e-01,5.475000e-01,6.601044e-02,8.177050e-02,2.518800e+01
-0.167883,0.2929,0.5532,1.2356,59.8868,1,5.366625e-01,4.540024e-01,7.425000e-01,4.259306e-01,4.431760e-01,1.453500e+00
-0.142334,0.2174,0.4184,2.9642,23.2805,1,4.935838e-01,4.200183e-01,1.272000e+00,4.702688e-01,4.199211e-01,1.471500e+00
-0.021162,0.3137,0.5016,2.2791,134.1502,1,5.665176e-01,5.447218e-01,6.810000e-01,4.603967e-01,5.312407e-01,1.395000e+00
0.002737,0.2758,0.5025,2.0550,8.0384,1,5.074575e-01,3.303090e-01,5.685000e-01,7.627444e-02,9.175869e-02,1.209750e+01
-0.058667,0.1802,0.4569,2.9181,36.5424,1,5.371214e-01,4.636773e-01,1.107000e+00,4.217538e-01,4.512210e-01,2.361000e+00
-0.008715,0.2466,0.2566,2.3183,89.8831,1,5.689901e-01,5.330760e-01,8.115000e-01,4.134202e-01,4.966075e-01,2.517000e+00
-0.052076,0.2735,0.3327,2.7687,37.0982,1,5.322974e-01,4.138374e-01,6.705000e-01,3.049408e-01,3.484094e-01,2.566500e+00
0.024570,0.2865,0.3757,2.3444,40.1665,1,5.321210e-01,3.950181e-01,5.760000e-01,1.494303e-01,1.849246e-01,1.076700e+01
-0.143787,0.1327,0.1356,1.3124,26.3962,1,5.379904e-01,4.546944e-01,1.117500e+00,3.547430e-01,4.132653e-01,3.603000e+00
0.003141,0.2852,0.4952,3.6173,54.9839,1,5.435147e-01,4.334304e-01,6.120000e-01,2.698443e-01,3.237536e-01,3.510000e+00
-0.082552,0.1265,0.1148,1.9614,19.3195,1,5.313301e-01,4.200564e-01,1.068000e+00,2.882898e-01,3.423578e-01,4.905000e+00
